Recorded Date,Borough,Method of Killing,sum of method of killing,Month,Year
Apr-03,Barking & Dagenham,Knife or Sharp Implement,1,Apr,2003
Apr-03,Brent,Shooting,2,Apr,2003
Apr-03,Bromley,Knife or Sharp Implement,1,Apr,2003
Apr-03,Croydon,Knife or Sharp Implement,1,Apr,2003
Apr-03,Haringey,Knife or Sharp Implement,1,Apr,2003
Apr-03,Harrow,Knife or Sharp Implement,1,Apr,2003
Apr-03,Islington,Shooting,1,Apr,2003
Apr-03,Lambeth,Other Methods Of Killing,1,Apr,2003
Apr-03,Lambeth,Shooting,1,Apr,2003
Apr-03,Newham,Knife or Sharp Implement,1,Apr,2003
Apr-03,Southwark,Blunt Implement,1,Apr,2003
Apr-03,Tower Hamlets,Other Methods Of Killing,1,Apr,2003
Apr-03,Westminster,Knife or Sharp Implement,1,Apr,2003
Apr-04,Barking & Dagenham,Knife or Sharp Implement,1,Apr,2004
Apr-04,Bexley,Not known/Not Recorded ,1,Apr,2004
Apr-04,Ealing,Not known/Not Recorded ,1,Apr,2004
Apr-04,Ealing,Other Methods Of Killing,1,Apr,2004
Apr-04,Ealing,Shooting,1,Apr,2004
Apr-04,Enfield,Shooting,1,Apr,2004
Apr-04,Hackney,Knife or Sharp Implement,1,Apr,2004
Apr-04,Haringey,Knife or Sharp Implement,1,Apr,2004
Apr-04,Haringey,Not known/Not Recorded ,1,Apr,2004
Apr-04,Hillingdon,Other Methods Of Killing,1,Apr,2004
Apr-04,Hounslow,Other Methods Of Killing,1,Apr,2004
Apr-04,Islington,Not known/Not Recorded ,1,Apr,2004
Apr-04,Kensington & Chelsea,Shooting,2,Apr,2004
Apr-04,Lambeth,Knife or Sharp Implement,1,Apr,2004
Apr-04,Lewisham,Other Methods Of Killing,1,Apr,2004
Apr-04,Newham,Knife or Sharp Implement,1,Apr,2004
Apr-04,Redbridge,Other Methods Of Killing,1,Apr,2004
Apr-04,Southwark,Other Methods Of Killing,1,Apr,2004
Apr-04,Waltham Forest,"Physical Assault, no weapon",1,Apr,2004
Apr-04,Wandsworth,Blunt Implement,1,Apr,2004
Apr-04,Wandsworth,Not known/Not Recorded ,1,Apr,2004
Apr-05,Barnet,Knife or Sharp Implement,1,Apr,2005
Apr-05,Camden,"Physical Assault, no weapon",1,Apr,2005
Apr-05,Croydon,Blunt Implement,1,Apr,2005
Apr-05,Ealing,Knife or Sharp Implement,1,Apr,2005
Apr-05,Enfield,Knife or Sharp Implement,1,Apr,2005
Apr-05,Haringey,Other Methods Of Killing,1,Apr,2005
Apr-05,Hounslow,Knife or Sharp Implement,1,Apr,2005
Apr-05,Kensington & Chelsea,Knife or Sharp Implement,1,Apr,2005
Apr-05,Kensington & Chelsea,"Physical Assault, no weapon",1,Apr,2005
Apr-05,Lewisham,Shooting,1,Apr,2005
Apr-05,Redbridge,Knife or Sharp Implement,1,Apr,2005
Apr-05,Richmond Upon Thames,Knife or Sharp Implement,1,Apr,2005
Apr-05,Southwark,Knife or Sharp Implement,1,Apr,2005
Apr-05,Wandsworth,Knife or Sharp Implement,1,Apr,2005
Apr-05,Westminster,Knife or Sharp Implement,1,Apr,2005
Apr-06,Barking & Dagenham,Other Methods Of Killing,3,Apr,2006
Apr-06,Barnet,Shooting,1,Apr,2006
Apr-06,Bromley,Shooting,1,Apr,2006
Apr-06,Ealing,Not known/Not Recorded ,1,Apr,2006
Apr-06,Enfield,Not known/Not Recorded ,1,Apr,2006
Apr-06,Hackney,Shooting,1,Apr,2006
Apr-06,Havering,Knife or Sharp Implement,1,Apr,2006
Apr-06,Islington,Knife or Sharp Implement,1,Apr,2006
Apr-06,Lambeth,Knife or Sharp Implement,1,Apr,2006
Apr-06,Lambeth,Other Methods Of Killing,1,Apr,2006
Apr-06,Lewisham,Shooting,1,Apr,2006
Apr-06,Newham,Other Methods Of Killing,1,Apr,2006
Apr-06,Newham,"Physical Assault, no weapon",1,Apr,2006
Apr-06,Southwark,Knife or Sharp Implement,1,Apr,2006
Apr-06,Wandsworth,Knife or Sharp Implement,2,Apr,2006
Apr-06,Wandsworth,Shooting,1,Apr,2006
Apr-07,Bromley,Knife or Sharp Implement,1,Apr,2007
Apr-07,Croydon,Other Methods Of Killing,1,Apr,2007
Apr-07,Ealing,Other Methods Of Killing,1,Apr,2007
Apr-07,Enfield,Other Methods Of Killing,1,Apr,2007
Apr-07,Greenwich,Knife or Sharp Implement,2,Apr,2007
Apr-07,Lambeth,Knife or Sharp Implement,1,Apr,2007
Apr-07,Lambeth,Shooting,1,Apr,2007
Apr-07,Newham,Knife or Sharp Implement,1,Apr,2007
Apr-07,Redbridge,Other Methods Of Killing,1,Apr,2007
Apr-07,Southwark,Knife or Sharp Implement,1,Apr,2007
Apr-07,Waltham Forest,Knife or Sharp Implement,1,Apr,2007
Apr-07,Wandsworth,Shooting,1,Apr,2007
Apr-07,Westminster,Other Methods Of Killing,1,Apr,2007
Apr-08,Barking & Dagenham,"Physical Assault, no weapon",1,Apr,2008
Apr-08,Bexley,Knife or Sharp Implement,1,Apr,2008
Apr-08,Brent,Knife or Sharp Implement,1,Apr,2008
Apr-08,Brent,Shooting,1,Apr,2008
Apr-08,Enfield,Knife or Sharp Implement,1,Apr,2008
Apr-08,Greenwich,"Physical Assault, no weapon",1,Apr,2008
Apr-08,Hackney,Knife or Sharp Implement,1,Apr,2008
Apr-08,Merton,Other Methods Of Killing,1,Apr,2008
Apr-08,Redbridge,Knife or Sharp Implement,1,Apr,2008
Apr-08,Tower Hamlets,Blunt Implement,1,Apr,2008
Apr-08,Waltham Forest,Knife or Sharp Implement,1,Apr,2008
Apr-08,Westminster,Other Methods Of Killing,1,Apr,2008
Apr-09,Barking & Dagenham,Knife or Sharp Implement,1,Apr,2009
