Count of Victims,Age Group,Sex,Method of Killing,Domestic Abuse,Recorded Date,Homicide Offence Type,Solved Status,Borough,Officer Observed Ethnicity,Month,Year
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,Jan-03,Murder,Solved,Wandsworth,White,Jan,2003
1,25 to 34,Male,Not known/Not Recorded ,Not Domestic Abuse,Jun-03,Murder,Solved,Wandsworth,Asian,Jun,2003
1,45 to 54,Male,"Physical Assault, no weapon",Not Domestic Abuse,Sep-03,Murder,Solved,Greenwich,Asian,Sep,2003
1,45 to 54,Male,Blunt Implement,Not Domestic Abuse,Sep-03,Murder,Solved,Kingston Upon Thames,White,Sep,2003
1,0 to 12,Female,"Physical Assault, no weapon",Not Domestic Abuse,Jun-03,Murder,Solved,Hounslow,White,Jun,2003
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic Abuse,Oct-03,Murder,Solved,Hounslow,Asian,Oct,2003
1,0 to 12,Female,"Physical Assault, no weapon",Not Domestic Abuse,Jan-03,Murder,Solved,Richmond Upon Thames,White,Jan,2003
1,13 to 19,Female,Not known/Not Recorded ,Not Domestic Abuse,Feb-03,Murder,Solved,Richmond Upon Thames,White,Feb,2003
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Aug-03,Murder,Solved,Richmond Upon Thames,Other,Aug,2003
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic Abuse,Jan-03,Murder,Solved,Hillingdon,Asian,Jan,2003
1,25 to 34,Female,"Physical Assault, no weapon",Domestic Abuse,May-03,Murder,Solved,Hillingdon,White,May,2003
1,25 to 34,Female,"Physical Assault, no weapon",Domestic Abuse,Jun-03,Murder,Solved,Hillingdon,Asian,Jun,2003
1,45 to 54,Female,Other Methods Of Killing,Domestic Abuse,Jul-03,Murder,Solved,Hillingdon,White,Jul,2003
1,45 to 54,Male,Knife or Sharp Implement,Domestic Abuse,Dec-03,Murder,Solved,Ealing,White,Dec,2003
1,55 to 64,Male,Not known/Not Recorded ,Not Domestic Abuse,Jan-03,Murder,Solved,Lambeth,Black,Jan,2003
1,35 to 44 ,Male,Shooting,Not Domestic Abuse,Feb-03,Murder,Unsolved,Ealing,Black,Feb,2003
1,45 to 54,Female,Other Methods Of Killing,Not Domestic Abuse,Feb-03,Murder,Unsolved,Lambeth,Black,Feb,2003
1,65 and over,Female,Other Methods Of Killing,Not Domestic Abuse,Mar-03,Murder,Unsolved,Lambeth,Black,Mar,2003
1,13 to 19,Male,Shooting,Not Domestic Abuse,Mar-03,Murder,Unsolved,Lambeth,Black,Mar,2003
1,45 to 54,Male,Other Methods Of Killing,Not Domestic Abuse,Apr-03,Murder,Unsolved,Lambeth,White,Apr,2003
1,25 to 34,Male,Shooting,Not Domestic Abuse,Apr-03,Murder,Solved,Lambeth,Black,Apr,2003
1,45 to 54,Male,Not known/Not Recorded ,Not Domestic Abuse,May-03,Murder,Solved,Hounslow,Asian,May,2003
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic Abuse,Sep-03,Murder,Unsolved,Lambeth,Black,Sep,2003
1,65 and over,Male,Other Methods Of Killing,Not Domestic Abuse,Sep-03,Manslaughter,Solved,Lambeth,Black,Sep,2003
1,35 to 44 ,Female,Knife or Sharp Implement,Domestic Abuse,Sep-03,Murder,Solved,Lambeth,White,Sep,2003
1,25 to 34,Male,Shooting,Not Domestic Abuse,Oct-03,Murder,Unsolved,Lambeth,Black,Oct,2003
1,25 to 34,Male,"Physical Assault, no weapon",Not Domestic Abuse,Nov-03,Murder,Solved,Ealing,White,Nov,2003
1,35 to 44 ,Male,Not known/Not Recorded ,Not Domestic Abuse,Nov-03,Murder,Unsolved,Lambeth,White,Nov,2003
1,20 to 24,Male,Shooting,Not Domestic Abuse,Dec-03,Murder,Unsolved,Lambeth,Black,Dec,2003
1,65 and over,Male,Other Methods Of Killing,Not Domestic Abuse,Dec-03,Murder,Solved,Ealing,White,Dec,2003
1,20 to 24,Female,Blunt Implement,Not Domestic Abuse,Jul-03,Murder,Solved,Hounslow,Asian,Jul,2003
1,45 to 54,Female,Blunt Implement,Not Domestic Abuse,Jul-03,Murder,Solved,Hounslow,Asian,Jul,2003
1,0 to 12,Male,Blunt Implement,Not Domestic Abuse,Jul-03,Murder,Solved,Hounslow,Asian,Jul,2003
